feature_id,feature_name,sprint,module,files_changed,lines_added,lines_deleted,complexity_score,developer_experience,team_size,past_defect_rate,test_coverage,automation_coverage,regression_failures,story_points,dependencies,days_to_release,bugs_found,risk_label
31,Product Listing,15,Commerce,4,120,40,2,Senior,1,0.05,0.90,0.85,0,3,0,14,1,Low
32,Product Details,15,Commerce,3,100,35,2,Senior,1,0.04,0.92,0.88,0,3,0,15,0,Low
33,Product Ratings,16,Commerce,7,250,85,3,Mid,2,0.12,0.72,0.62,2,6,1,11,3,Medium
34,Wishlist Feature,16,Commerce,5,180,60,2,Mid,1,0.08,0.85,0.78,0,4,1,13,1,Low
35,Shipping Calculator,16,Commerce,8,320,110,4,Mid,2,0.13,0.70,0.60,2,7,2,10,3,Medium
36,Tax Calculator,16,Commerce,9,380,130,5,Junior,2,0.17,0.62,0.52,3,8,1,9,4,Medium
37,Order Tracking,16,Commerce,6,210,70,3,Mid,1,0.10,0.78,0.68,1,5,1,12,2,Medium
38,Returns Processing,17,Commerce,12,620,210,7,Junior,3,0.22,0.50,0.42,5,11,3,6,6,High
39,Refund Management,17,Commerce,11,550,190,6,Junior,2,0.20,0.55,0.48,4,10,2,5,5,High
40,Loyalty Program,17,Commerce,10,480,160,6,Junior,2,0.18,0.58,0.50,3,9,2,7,5,Medium
41,Recommendation Engine,17,Analytics,13,720,240,8,Junior,3,0.24,0.45,0.38,6,12,4,5,8,High
42,Customer Analytics,17,Analytics,11,600,200,7,Junior,2,0.22,0.50,0.43,5,11,3,6,7,High
43,Sales Reports,16,Analytics,7,280,95,3,Mid,2,0.11,0.75,0.65,2,6,1,10,2,Medium
44,Performance Dashboard,16,Analytics,6,240,80,3,Mid,1,0.09,0.80,0.72,1,5,1,11,1,Low
45,Custom Reports,16,Analytics,8,320,110,4,Mid,2,0.14,0.68,0.58,3,8,2,9,3,Medium
46,Data Export,15,Analytics,4,130,45,2,Senior,1,0.05,0.88,0.82,0,3,0,14,1,Low
47,API Documentation,15,Platform,3,80,30,1,Senior,1,0.02,0.95,0.90,0,2,0,16,0,Low
48,API Versioning,16,Platform,6,210,70,3,Mid,2,0.10,0.78,0.70,1,5,1,12,2,Medium
49,API Rate Limiting Upgrade,16,Platform,8,310,105,4,Mid,2,0.13,0.70,0.60,2,7,1,10,3,Medium
50,Webhook System,17,Platform,10,450,150,6,Junior,2,0.19,0.55,0.47,4,9,3,7,5,Medium
51,GraphQL Migration,17,Platform,14,780,260,8,Junior,3,0.23,0.48,0.40,6,13,5,5,8,High
52,REST API Redesign,17,Platform,12,650,220,7,Junior,2,0.21,0.52,0.45,5,11,3,6,7,High
53,Error Handling,15,Platform,5,160,55,2,Senior,1,0.04,0.92,0.88,0,4,1,14,0,Low
54,Validation Framework,15,Platform,6,190,65,3,Mid,2,0.09,0.85,0.78,0,5,0,13,1,Low
55,Configuration Management,16,Platform,7,260,90,3,Mid,2,0.11,0.75,0.65,1,6,1,11,2,Medium
56,Dependency Updates,16,Platform,4,120,40,1,Senior,1,0.03,0.90,0.85,0,3,0,15,0,Low
57,Security Patches,16,Security,5,150,50,2,Mid,2,0.08,0.88,0.82,0,4,1,14,1,Low
58,Penetration Testing Fixes,17,Security,9,380,130,5,Mid,2,0.15,0.65,0.55,3,8,2,9,4,Medium
59,GDPR Compliance,17,Security,11,580,200,7,Junior,3,0.20,0.52,0.45,4,10,2,6,5,Medium
60,Data Privacy Updates,17,Security,10,480,160,6,Junior,2,0.18,0.58,0.50,3,9,2,7,5,Medium
61,Help Documentation,15,Support,3,75,25,1,Senior,1,0.02,0.95,0.90,0,2,0,16,0,Low
62,FAQ System,15,Support,4,100,35,2,Senior,1,0.03,0.92,0.88,0,3,0,15,0,Low
63,Knowledge Base,16,Support,6,190,65,3,Mid,2,0.09,0.82,0.75,1,5,1,12,1,Low
64,Support Ticketing,16,Support,9,350,120,4,Mid,2,0.13,0.70,0.60,2,7,2,10,3,Medium
65,Live Chat Integration,17,Support,10,420,140,5,Junior,2,0.17,0.62,0.52,3,9,3,8,4,Medium
66,Chatbot Implementation,17,Support,13,720,240,8,Junior,3,0.23,0.48,0.40,5,12,4,6,7,High
67,Mobile App Login,15,Mobile,5,140,50,2,Mid,2,0.08,0.85,0.78,0,4,1,13,1,Low
68,Mobile App Search,15,Mobile,4,110,40,2,Senior,1,0.04,0.90,0.85,0,3,0,14,0,Low
69,Mobile App Cart,16,Mobile,8,300,100,4,Mid,2,0.12,0.72,0.62,2,7,1,11,3,Medium
70,Mobile App Checkout,17,Mobile,11,550,190,6,Junior,2,0.20,0.55,0.48,4,10,2,7,5,Medium
71,Push Notifications,16,Mobile,7,260,90,3,Mid,2,0.10,0.78,0.68,1,6,1,12,2,Medium
72,Offline Support,17,Mobile,10,420,140,5,Junior,2,0.18,0.60,0.50,3,9,1,8,4,Medium
73,App Analytics,16,Mobile,6,220,75,3,Mid,1,0.09,0.80,0.72,1,5,1,11,1,Low
74,Crash Reporting,16,Mobile,5,180,60,2,Mid,1,0.07,0.85,0.78,0,4,1,13,1,Low
75,App Localization,17,Mobile,12,640,220,7,Junior,3,0.21,0.52,0.45,4,11,2,7,6,High
76,Admin Dashboard,15,Admin,6,200,70,3,Mid,2,0.10,0.80,0.72,1,5,1,12,2,Medium
77,User Management,15,Admin,7,240,85,3,Mid,2,0.11,0.78,0.68,1,6,1,11,2,Medium
78,Role Management,16,Admin,6,210,70,3,Mid,2,0.09,0.82,0.75,0,5,0,13,1,Low
79,Permission Management,16,Admin,8,320,110,4,Mid,2,0.13,0.70,0.60,2,7,1,10,3,Medium
80,Content Management,16,Admin,9,360,120,4,Mid,2,0.14,0.68,0.58,2,8,2,10,3,Medium
81,Settings Management,16,Admin,5,160,55,2,Senior,1,0.05,0.88,0.82,0,4,0,13,1,Low
82,Bulk Operations,17,Admin,11,580,200,6,Junior,2,0.19,0.55,0.47,4,10,1,8,5,Medium
83,Data Migration Tool,17,Admin,13,720,240,7,Junior,3,0.22,0.48,0.40,5,12,2,7,6,High
84,Backup Management,15,Admin,4,120,40,2,Senior,1,0.03,0.92,0.88,0,3,1,14,0,Low
85,System Logs,15,Admin,5,150,50,2,Mid,1,0.08,0.85,0.78,0,4,0,14,1,Low
